"cod_funcionario";"senha";"email";"nome";"cpf";"telefone";"foto"
"1";"1";"adm";"adm";"adm";"adm";"111"
"1112";"1234";"juliana@gmail.com";"Julia TÃ¢nia Helena Rocha";"068861717-47";"(98)98820-8807";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1113";"1234";"mercio@gmail.com";"MÃ¡rcio JoÃ£o KauÃª da Cruz";"193014804-68";"(11)98886-2401";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1114";"1234";"nina@gmail.com";"Nina Ana Jennifer da Costa";"483345857-80";"(85)92716-2925";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1115";"1234";"sara@gmail.com";"Sara Eliane Lima";"949896456-42";"(82)99885-7942";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1116";"1234";"marcio@gmail.com";"MÃ¡rcio Danilo Nelson Lopes";"111362560-08";"(62)98891-0978";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1117";"1234";"rebeca@gmail.com";"Rebeca Clarice Bruna Nascimento";"980991979-41";"(32)99418-0238";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1118";"1234";"aparecida@gmail.com";"Aparecida Mariah AlÃ­cia Rodrigues";"462880804-03";"(83)98632-2097";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1119";"1234";"daniel@gmail.com";"Daniel Anthony Alves";"108521519-93";"(84)99920-1578";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1120";"1234";"tania@gmail.com";"TÃ¢nia EloÃ¡ Stella Caldeira";"429440597-00";"(47)99233-8898";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1121";"1234";"livia@gmail.com";"LÃ­via Julia AparÃ­cio";"007241131-77";"(11)98627-2505";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1122";"1234";"alessandra@gmail.com";"Alessandra Ana Vera Viana";"604886492-26";"(85)98571-0096";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1123";"1234";"leandro@gmail.com";"Leandro Thomas Renan Campos";"127265021-99";"(96)99478-5394";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1124";"1234";"rafael@gmail.com";"Rafael Nelson da Rosa";"303756141-68";"(98)99617-7694";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1125";"1234";"mateus@gmail.com";"Mateus Davi Isaac GalvÃ£o";"076454093-98";"(85)99455-5299";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1126";"1234";"maite@gmail.com";"MaitÃª Marli Dias";"403959488-60";"(31)98443-3946";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1127";"1234";"evelyn@gmail.com";"Evelyn Rayssa Duarte";"581209978-24";"(68)99564-2116";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
"1128";"1234";"malu@gmail.com";"Malu Jennifer Vieira";"850403619-71";"(95)99261-8204";"C:/Users/rodri/Downloads/painel_supermercado/painel_supermercado/Resources/login_icon.png"
